"hospital_name","district","nearest_sh","distance_meters"
"Rajshree Clinic","Jaipur","Sanganer Malpura Road","18.52"
"Ram ENT Hospital","Jaipur","JATAWALI TO KALADERA VIA CHOMU","34.67"
"Ram Hospital","Jaipur","Sanganer Malpura Kekri Shahpura Bhilwara Kankroli road","358.51"
"Ram Janki Memorial Vijayvergia Hospital","Jaipur","Sanganer Malpura Road","4350.42"
"Ravi Gupta Heart Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","749.61"
"Reya Child Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","4966.61"
"Rishab Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","380.95"
"RL Memorial Clinic","Jaipur","Kuchaman Losal Sikar Chala Neem Ka Thana Patan Kotputli","622.43"
"S D Clinic","Jaipur","Behror to Talamod via Bansur Thanagazi Road","2997.86"
"S S Mahila and General Hospital","Jaipur","JATAWALI TO KALADERA VIA CHOMU","45.10"
"Sadhana Hospital Pvt. Ltd.","Jaipur","Jaipur Jobner Road SH-(2C)","2260.35"
"Saha Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","2313.46"
"Sahara Child Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","52.39"
"Sahara Cilnic","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ram","994.62"
"Sai Baba Clinic","Jaipur","Sanganer Malpura Road","4339.25"
"Sai Clinic","Jaipur","Neendar  to Kaladera Road","2353.95"
"Saini Clinic","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ramgarh Road","28.73"
"Saini Hospital","Jaipur","CHOMU CHURU VIA DIVRALA KHENDELA UDAIPUR WATI","152.68"
"Saint Thomas Hospital","Jaipur","Chaksu Phagi  Road Km 71 to 94","1440.84"
"Saket Hospital","Jaipur","Sanganer Malpura Road","3719.81"
"Salasar Child Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","1113.43"
"Sambhar Salt Hospital","Jaipur","Mokhampura (NH-8) Phulera Sambhar Road","74.11"
"Sameer Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","4863.38"
"Sanjeevane Hospital","Jaipur","Kuchaman Losal Sikar Chala Neem Ka Thana Patan Kotputli","676.70"
"Sanjeevani Clinic","Jaipur","JATAWALI TO KALADERA VIA CHOMU","51.58"
"Sanjeevani Hospital","Jaipur","CHOMU CHURU VIA DIVRALA KHENDELA UDAIPUR WATI","191.26"
"Sanjeevani Poly Clinic","Jaipur","Sanganer Malpura Road","61.87"
"Sanjivani Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","443.48"
"Santosh Nursing Home, Jaipur","Jaipur","Kuchaman Losal Sikar Chala Neem Ka Thana Patan Kotputli","721.05"
"Saraswati Hospital","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ramgarh Road","3647.03"
"Sardarmal Khandaka Memorial Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","67.61"
"Satellite Hospital, Jaipur","Jaipur","Jaipur Jobner Road SH-(2C)","2581.52"
"Satyam Hospital, Jaipur","Jaipur","Mokhampura (NH-8) Phulera Sambhar Road","815.85"
"Satyan Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","4502.78"
"Saubhagya Homeo Clinic","Jaipur","Sanganer Malpura Road","845.55"
"Sethi Hospital","Jaipur","Sanganer Malpura Road","3993.36"
"Seva Poly Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","3961.92"
"Sevayatan Hospital","Jaipur","JATAWALI TO KALADERA VIA CHOMU","831.87"
"Shah Hospital, Jaipur","Jaipur","Jaipur Jobner Road SH-(2C)","2274.34"
"Shahari Swasthya Kendra","Jaipur","Sanganer Malpura Road","3084.24"
"Shailaja Clinic","Jaipur","Sanganer Malpura Road","4709.47"
"Sharda General Hospital","Jaipur","Sanganer Malpura Road","3134.47"
"Sharma Clinic","Jaipur","Sanganer Malpura Road","3261.92"
"Sharma Hospital","Jaipur","JATAWALI TO KALADERA VIA CHOMU","482.44"
"Sharma Nursing Home","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ramgarh Road","329.88"
"Shaurya Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","4889.65"
"Shekhar Clinic","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ram","1046.57"
"Shekhawati Child and Polyclinic","Jaipur","Jaipur Jobner Road SH-(2C)","644.88"
"Shifa Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","4797.39"
"Shifa Health Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","3946.03"
"Shikha Clinic","Jaipur","Sanganer Malpura Road","1255.65"
"Shiv Dhara Hospital","Jaipur","JATAWALI TO KALADERA VIA CHOMU","909.85"
"Shiv Hospital","Jaipur","JATAWALI TO KALADERA VIA CHOMU","19.48"
"Shiv Shakti Clinic","Jaipur","Sanganer Malpura Road","2804.96"
"Shiva Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","3538.49"
"Shiva Life Line Clinic","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ram","4952.80"
"Shobha Nursing Home","Jaipur","Jaipur Jobner Road SH-(2C)","726.82"
"Shree Adinath Hospital","Jaipur","Sanganer Malpura Road","2929.62"
"Shree Balaji Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","2807.65"
"Shree Gouri Homoeopathic Clinic","Jaipur","Mokhampura (NH-8) Phulera Sambhar Road","1172.39"
"Shree Homoeo Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","4307.25"
"Shree Ji Dental Hospital","Jaipur","Sanganer Malpura Kekri Shahpura Bhilwara Kankroli road","21.14"
"Shree K B M Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","2800.92"
"Shree Krishna Hospital","Jaipur","Mokhampura (NH-8) Phulera Sambhar Road","332.23"
"Shree Narayan Chikitsalay","Jaipur","Sanganer Malpura Road","3860.77"
"Shree Om Laxmi Bangali Clinic","Jaipur","Sanganer Malpura Road","4293.06"
"Shree Panchayati Homoeopathic Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","2528.34"
"Shree Shyam Child and Maternity Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","43.94"
"Shree Shyam Clinic","Jaipur","Sanganer Malpura Road","707.51"
"Shree Shyam Eye Hospital","Jaipur","Behror to Talamod via Bansur Thanagazi Road","3232.85"
"Shri Brij Fracture Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","19.72"
"Shri Dadu Hospital and Research Center","Jaipur","Mokhampura (NH-8) Phulera Sambhar Road","1450.37"
"Shri G Hospital","Jaipur","Sanganer Malpura Kekri Shahpura Bhilwara Kankroli road","120.43"
"Shri Guru Clinic","Jaipur","Sanganer Malpura Road","1112.67"
"Shri Hospital","Jaipur","Sanganer Malpura Road","4357.47"
"Shri Jain Divakar Homeopathic Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","4597.55"
"Shri Laxmi Poly Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","23.73"
"Shri Narayan Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","2907.34"
"Shri Om Hospital, Jaipur","Jaipur","Dausa Toonga Chaksu Phagi Dudu Kuchaman Road Km 29/0 to 35/0","385.83"
"Shri Ram Hospital","Jaipur","Kuchaman Losal Sikar Chala Neem Ka Thana Patan Kotputli","645.84"
"Shri Ramniwas Memorial Hospital & Allergy Centre","Jaipur","Jaipur Jobner Road SH-(2C)","332.76"
"Shri Shyam Hospital","Jaipur","Kuchaman Losal Sikar Chala Neem Ka Thana Patan Kotputli","812.22"
"Shri Shyam Hospital and Trauma Centre","Jaipur","Kuchaman Losal Sikar Chala Neem Ka Thana Patan Kotputli","382.42"
"Shubham Clinic & Research Centre","Jaipur","Neendar  to Kaladera Road","1065.72"
"Shubham Hospital and Maternity Centre","Jaipur","Jaipur Jobner Road SH-(2C)","54.78"
"Shuvam Clinic","Jaipur","Sanganer Malpura Road","3699.44"
"Siddhi Vinayak ENT Hospital","Jaipur","Sanganer Malpura Road","1789.30"
"Siddhi Vinayak Homeopathic Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","766.87"
"Singodiya Hospital","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ram","1379.27"
"Siradhna Clinic","Jaipur","Sanganer Malpura Road","4728.78"
"Sita Devi Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","4689.45"
"Skin Care Clinic","Jaipur","Sanganer Malpura Road","4388.04"
"SMS Hospital","Jaipur","Neendar  to Kaladera Road","3288.10"
"Solanki Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","4662.40"
"Solomon Hospital","Jaipur","Sanganer Malpura Road","3344.20"
"Sona Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","3821.51"
"Soni Nursing Home","Jaipur","Jaipur Jobner Road SH-(2C)","1577.64"
"Sonkhiya Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","2367.42"
"Sonkhya ENT Centre","Jaipur","Jaipur Jobner Road SH-(2C)","2756.03"
"Spine Care Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","2709.33"
"Sr Kalla Memorial Gastro and General Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","3757.78"
"Star Women and General Hospital","Jaipur","Sanganer Malpura Road","2141.21"
"Subash Clinic","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ram","4847.31"
"Suhana Clinic","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ramgarh Road","21.88"
"Sun Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","2610.16"
"Sun Rise Hospital","Jaipur","Kuchaman Losal Sikar Chala Neem Ka Thana Patan Kotputli","294.32"
"Sunil Hospital","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ramgarh Road","16.32"
"Suraj ENT Centre","Jaipur","Mokhampura (NH-8) Phulera Sambhar Road","2090.07"
"Suraksha Clinic","Jaipur","Sanganer Malpura Road","4970.11"
"Suraksha Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","3369.57"
"Surinder Nursing Home","Jaipur","Shahpura Neem Ka Thana Road","82.10"
"Suvidha Clinic","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ramgarh Road","21.04"
"Swami Clinic","Jaipur","Kuchaman Losal Sikar Chala Neem Ka Thana Patan Kotputli","480.68"
"Swaroop Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","4175.51"
"T.B. Cenetorium","Jaipur","Jaipur Jobner Road SH-(2C)","2125.51"
"Tagore Hospital and Research Institute","Jaipur","Sanganer Malpura Road","4605.17"
"Take Care Clinic","Jaipur","Sanganer Malpura Road","1517.54"
"Tanwar Hospital","Jaipur","Shahpura Neem Ka Thana Road","14.76"
"Tarani General Hospital","Jaipur","Sanganer Malpura Road","3187.12"
"Tawakkal General Clinic","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ram","4010.92"
"TB Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","2032.62"
"Thar Hospital Pvt. Ltd.","Jaipur","Jaipur Jobner Road SH-(2C)","2538.60"
"The Urmil Chest & General Hospital","Jaipur","Sanganer Malpura Road","3032.42"
"Tiwari Child and Dental Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","2112.87"
"Tokas Gastro Hospital","Jaipur","JATAWALI TO KALADERA VIA CHOMU","2333.57"
"Tonk Dental & Facial Trauma Centre","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ramgarh Road","34.97"
"Tosif Poly Clinic , JAIPUR","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ram","2695.86"
"Trilok Nursing Home","Jaipur","Sanganer Malpura Road","3276.36"
"Triveni Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","3277.97"
"Tyagi Eye Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","4725.00"
"Unique Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","2974.36"
"Universal Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","3813.53"
"Urmil Raj Polyclinic","Jaipur","Sanganer Malpura Road","4198.64"
"Usha Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","2412.55"
"V Care Physiotherapy & Rehabilitation Clinic","Jaipur","Sanganer Malpura Road","3665.32"
"V.N.S. Homoeopathy Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","877.37"
"Vaishali Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","3749.18"
"Vardhman Clinic & Diagnostic Centre","Jaipur","Sanganer Malpura Road","3257.35"
"Vashisth Clinic","Jaipur","Sanganer Malpura Road","396.49"
"Vinayak Homoeo Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","278.11"
"Vinayak Hospital","Jaipur","Gudha to Jaipur via Kishori Sidhka Tibara Jhiri, Andhi, Ramgarh Road","111.28"
"Virat Hospital","Jaipur","Shahpura Neem Ka Thana Road","67.53"
"Vishwanath Hospital","Jaipur","Sanganer Malpura Road","2124.79"
"Vivanta Clinics","Jaipur","Jaipur Jobner Road SH-(2C)","4670.38"
"Vivekanand Hospital and Fertility Centre","Jaipur","Jaipur Jobner Road SH-(2C)","3569.50"
"Vyas Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","3706.91"
"Walia Hospital","Jaipur","Sanganer Malpura Kekri Shahpura Bhilwara Kankroli road","477.34"
"Welfare Clinic, Jaipur","Jaipur","Jaipur Jobner Road SH-(2C)","3500.66"
"Welfare Physiotherapy Clinic","Jaipur","Jaipur Jobner Road SH-(2C)","2880.81"
"Yadav Eye Hospital","Jaipur","JATAWALI TO KALADERA VIA CHOMU","455.22"
"Yuvaan Child and General Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","79.32"
"Zanana Hospital","Jaipur","Jaipur Jobner Road SH-(2C)","3533.13"
"Assalam Hospital","Jaisalmer","Chawa Baitu Phalsund Pokaran Ramdeora Nachana","1138.61"
"Dr. R.S.Champawats Clinic","Jaisalmer","Chawa Baitu Phalsund Pokaran Ramdeora Nachana","364.51"
"Government Hospital, Loharki","Jaisalmer","Chawa Baitu Phalsund Pokaran Ramdeora Nachana","30.22"
"Mamta Clinic Homeopathic","Jaisalmer","Chawa Baitu Phalsund Pokaran Ramdeora Nachana","438.23"
"Shri Ramdev Homoeopathic Clinic","Jaisalmer","Chawa Baitu Phalsund Pokaran Ramdeora Nachana","486.78"
"Sri Ramdev Homoeopathic Clinic","Jaisalmer","Chawa Baitu Phalsund Pokaran Ramdeora Nachana","546.97"
"District Hospital Jalore","Jalor","Jalore Bhinmal Raniwara Road","87.37"
"Government Hospital Ummedabad","Jalor","Barmer Sindari, Jalore Amritiya Road","55.63"
"Government Hospital Vada Bharvi","Jalor","Revdar jaswantpura bhinmal bagoda rangala chounchwa phanta","4731.38"
"Government Hospital, Jalore","Jalor","Pali Mokalsar via Bhadrajune","48.71"
"Government Hospital, Raniwara","Jalor","Jalore Bhinmal Raniwara","328.50"
"Governmet Hospital Sirana","Jalor","Barmer Sindari, Jalore Amritiya Road","37.68"
"Governmet Hospital Surana","Jalor","Sayla Bagoda Road","39.54"
"Amrit Eye Hospital","Jalore","Rohit Ahore Via Bhadrajune","950.19"
"Ayushi Gujrat Hospital","Jalore","Jalore Bhinmal Raniwara Road","353.83"
"Bhaskar Hospital","Jalore","Jalore Bhinmal Raniwara Road","20.26"
"Choudhary Bhupendra Hospital","Jalore","Jalore Bhinmal Raniwara Road","335.27"
"Dr. Ghanshyam Tripathi","Jalore","Rohit Ahore Via Bhadrajune","1380.73"
"Dr. R.K. Bajaj","Jalore","Jalore Bhinmal Raniwara Road","322.49"
"General Hospital, Jalore","Jalore","Jalore Bhinmal Raniwara Road","50.54"
"Global Eye Hospital","Jalore","Jalore Rewatra Sayla","54.75"
"Happy Children and General Hospital","Jalore","Rohit Ahore Via Bhadrajune","250.49"
"Jagdamba Hospital","Jalore","Jalore Bhinmal Raniwara Road","642.24"
"Krishna Hospital","Jalore","Rohit Ahore Via Bhadrajune","2128.85"
"Life Line Hospital","Jalore","Jalore Bhinmal Raniwara Road","14.58"
"Mehta Children Hospital","Jalore","Revdar jaswantpura bhinmal bagoda rangala chounchwa phanta","44.66"
"Nahar Hospital","Jalore","Jalore Bhinmal Raniwara Road","74.50"
"Navkar Hospital","Jalore","Jalore Bhinmal Raniwara Road","28.49"
"Om Sai Clinic","Jalore","Jalore Bhinmal Raniwara Road","73.35"
"Raj Hospital","Jalore","Revdar jaswantpura bhinmal bagoda rangala chounchwa phanta","146.67"
"Ram Kumar Homoeopathic Clinic","Jalore","Jalore Bhinmal Raniwara Road","114.32"
"Sadguru Eye Hospital","Jalore","Rohit Ahore Via Bhadrajune","661.58"
"Sarvodaya Hospital","Jalore","Jalore Bhinmal Raniwara Road","231.46"
"Sattar Bhai Homoeopathic Hospital","Jalore","Rohit Ahore Via Bhadrajune","1620.46"
"Shivam Hospital","Jalore","Revdar jaswantpura bhinmal bagoda rangala chounchwa phanta","28.39"
"Shree Balaji Hospital","Jalore","Jalore Bhinmal Raniwara Road","364.99"
"Shree Krishna Manav Seva Kendra","Jalore","Revdar jaswantpura bhinmal bagoda rangala chounchwa phanta","16.22"
"Shri Ram Hospital","Jalore","Jalore Bhinmal Raniwara Road","99.32"
"Surya Hospital","Jalore","Rohit Ahore Via Bhadrajune","442.73"
"A J Manju Hospital","Jhalawar","Jhalawar to Mathura via Jhalrapatan, Bhadolti, Bharatpur","248.75"
"Anuj Clinic","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","346.42"
"Bal Chand Hospital","Jhalawar","Jhalawar Bhawanimandi Dug Agar","801.29"
"Balaji Hospital and Multispeciality","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","1799.94"
"Bhargav Hospital","Jhalawar","Jhalawar Bhawanimandi Dug Agar","215.97"
"Bhargav Maternity Hospital","Jhalawar","Jhalawar Bhawanimandi Dug Agar","603.05"
"Chouhan Clinic","Jhalawar","Sulia Sunel Pirawa Soyat (M. P. Border)","4387.87"
"Community Health Centre","Jhalawar","Bager ,Harigargh, Mandawar, Bakani up to MP Border","281.87"
"Dag Hospital","Jhalawar","Jhalawar Bhawanimandi Dug Agar","58.73"
"Dr. Anil Vyas, Vyas Homoeo Clinic","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","1414.30"
"Dr. Haneef Khan","Jhalawar","Darra Kanwas Khanpur Arnia Road","13.56"
"Dr. M.L. Meena","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","12.02"
"Dr. Mohammad Akbar's Clinic","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","370.13"
"Dr. R.K. Meena Eye Clinic","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","1865.62"
"Dr. Sanjay Vinay Clinic","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","537.87"
"Dr. Satish Pareek","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","42.83"
"Dr. Vashishth Clinic","Jhalawar","Dug Sitamahu upto district border via Chomella","13.15"
"Government Hospital","Jhalawar","Dug Sitamahu upto district border via Chomella","21.24"
"Government Hospital Raipur","Jhalawar","Unhel Bhalta Ratlai Karal Gaon Mundla Karodiya Sunel","302.04"
"Government Hospital Sarolakala","Jhalawar","Darra Kanwas Khanpur Arnia Road","37.63"
"Government Hospital, Bhalta","Jhalawar","Unhel Bhalta Ratlai Karal Gaon Mundla Karodiya Sunel","29.74"
"Government Hospital, Bhawani Mandi","Jhalawar","Jhalawar Bhawanimandi Dug Agar","1207.90"
"Government Hospital, Kundla","Jhalawar","Dug Sitamahu upto district border via Chomella","54.87"
"Government Hospital, Manohar Thana","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","71.90"
"Government Hospital, Pachpahar","Jhalawar","Jhalawar Bhawanimandi Dug Agar","302.63"
"Government Hospital,Hemara","Jhalawar","Sulia Sunel Pirawa Soyat (M. P. Border)","121.70"
"Government Hospital,Khanpur","Jhalawar","Jhalawar to Mathura via Jhalrapatan, Bhadolti, Bharatpur","269.73"
"Harrison Joshi Clinic","Jhalawar","Dug Sitamahu upto district border via Chomella","164.76"
"Jayswal Hospital","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","64.33"
"M.K Clinic","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","267.27"
"Malwa Clinic","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","1989.02"
"Nirogdham Hospital","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","125.44"
"Noon Hospital and Research Centre","Jhalawar","Jhalawar Bhawanimandi Dug Agar","64.30"
"Orthopaedic and Trauma Centre Hospital","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","21.15"
"Patel Clinic","Jhalawar","Sulia Sunel Pirawa Soyat (M. P. Border)","1760.69"
"Pirawa Hospital","Jhalawar","Sulia Sunel Pirawa Soyat (M. P. Border)","388.82"
"Qureshi Clinic","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","1533.70"
"Rajkiya Mahila Hospital","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","1903.90"
"Sanwaria Hospital","Jhalawar","Dudu to M.Thana via Malpura Aklera, Maharajpura","275.69"
"Shree Falodi Dental Hospital","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","683.14"
"Shri Falodi Child Clinic","Jhalawar","Jhalawar (State Border) to Mathura via  Bharatpur","936.75"
"Sisodiya Clinic","Jhalawar","Unhel Bhalta Ratlai Karal Gaon Mundla Karodiya Sunel","1292.31"
"Vedant Clinic","Jhalawar","Jhalawar Bhawanimandi Dug Agar","1577.49"
"A.K Eye Hospital","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","48.91"
"Aastha Child Hospital","Jhunjhunu","Chomu Khandella Udaipurwati JJN Churu road","79.56"
"Abha Maternity and Child Hospital","Jhunjhunu","Sikar-JJN SRJ Loharu","632.59"
"Archana Hospital and Research Centre","Jhunjhunu","Fatehpur Mandawa JJN Malsisar Rajgarh Road","93.57"
"Basant Lal Murli Dhar Saraf Charitable Hospital","Jhunjhunu","Sikar Jhunjhunu Surajgarh Loharu","829.66"
"Batul Heart Care and General Hospital","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","296.06"
"Bawaliya Eye Care Hospital","Jhunjhunu","Sikar-Jhunjhunu-Surajgarh-Luharu","1066.41"
"Bhardwaj Child Hospital","Jhunjhunu","Sikar Jhunjhunu Loharu Road","271.75"
"Bhatnagar Hospital","Jhunjhunu","Shahpura Khetri Rajgarh SH-13","625.05"
"Bloom Hospital","Jhunjhunu","Shahpura Neem Ka Thana Khetri Chirawa Pilani Road","38.14"
"C.K.R.D Memorial Hospital and Research Institute","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","262.39"
"Chanchal Optical Nawalgarh","Jhunjhunu","Sikar-JJN SRJ Loharu","913.64"
"Chandsi Dawakhana","Jhunjhunu","Dhanani to Nijampur via Laxmangarh Nawalgarh Gudha CHANWARA","84.13"
"Child Hospital","Jhunjhunu","Sikar Jhunjhunu Loharu Road","626.54"
"Choudhary Hospital","Jhunjhunu","Chomu Khandella Udaipurwati JJN Churu road","25.41"
"Dr. Amitabha Chakrabarti","Jhunjhunu","Sikar Jhunjhunu Loharu Road","50.20"
"Dr. Anil Saharan Hospital","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","171.46"
"Dr. Dadarwal Clinic","Jhunjhunu","Shahpura Khetri  Singhana chirawa pilani Rajgarh SH 13","389.92"
"Dr. Dayaram Maharia","Jhunjhunu","Sikar Jhunjhunu Surajgarh Loharu","795.02"
"Dr. Dayashankar Bawalia","Jhunjhunu","Sikar-Jhunjhunu-Surajgarh-Luharu","936.14"
"Dr. Ganesh Gupta Clinic","Jhunjhunu","Sikar-JJN SRJ Loharu","413.23"
"Dr. Gokul Clinic","Jhunjhunu","Shahpura Khetri Rajgarh","345.96"
"Dr. Jageram Clinic","Jhunjhunu","Singhana Buhana Satnali border","102.01"
"Dr. Jain's Clinic","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","624.70"
"Dr. Johari's Clinic","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","171.01"
"Dr. Kusum Lata Hospital","Jhunjhunu","Sikar-Jhunjhunu-Surajgarh-Luharu","28.04"
"Dr. Mahendra Jangid","Jhunjhunu","Shahpura Neem Ka Thana Khetri Chirawa Pilani Road","812.72"
"Dr. Maurya","Jhunjhunu","Sikar Jhunjhunu Surajgarh Loharu","577.91"
"Dr. R G Gupta Homeo Clinic","Jhunjhunu","Fatehpur-Mandawa-Jhunjhunu-Malsisar-Rajgarh road","23.13"
"Dr. Rajendra clinic","Jhunjhunu","Shahpura Khetri  Singhana chirawa pilani Rajgarh SH 13","1695.34"
"Dr. Rajendra Gajraj Clinic","Jhunjhunu","Sikar-Jhunjhunu-Surajgarh-Luharu","27.51"
"Dr. S N Sharma","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","77.80"
"Dr. Sanjay Katewa Radha Dental Hospital","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","19.03"
"Dr. Sushil Sharma","Jhunjhunu","NAGAUR TARNAU LAXMANGARH MUKUNDGARH SH-82 A ROAD","17.47"
"Garekar Hospital","Jhunjhunu","Shahpura Khetri Rajgarh SH-13","1271.65"
"Giyal Eye Care Centre","Jhunjhunu","Shahpura Neem Ka Thana Khetri Chirawa Pilani Road","755.28"
"Government Ajit Hospital","Jhunjhunu","Shahpura Khetri  Singhana chirawa pilani Rajgarh SH 13","71.44"
"Government B.D.K Hospital-Jhun Jhunu","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","69.13"
"Government Hospital","Jhunjhunu","Dhanani to Nijampur via Laxmangarh Nawalgarh Gudha CHANWARA","775.30"
"Holy Mahadev Hospital","Jhunjhunu","Shahpura Neem Ka Thana Khetri Chirawa Pilani Road","21.76"
"Homopathic Clinic","Jhunjhunu","Sikar Jhunjhunu Surajgarh Loharu","777.53"
"Indra Hospital","Jhunjhunu","Shahpura Khetri Rajgarh","138.96"
"Indu Hospital","Jhunjhunu","Sikar-Jhunjhunu-Surajgarh-Luharu","624.21"
"Jaipur Hospital","Jhunjhunu","Sikar Jhunjhunu Loharu Road","142.20"
"Jangid Hospital","Jhunjhunu","Dhanani to Nijampur via Laxmangarh Nawalgarh Gudha CHANWARA","392.60"
"Janu Eye Hospital","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","133.67"
"Jhunjhunu Hospital","Jhunjhunu","Sikar-Jhunjhunu-Surajgarh-Luharu","73.17"
"JJ Clinic","Jhunjhunu","Shahpura Khetri Rajgarh","313.81"
"K K Hospital","Jhunjhunu","Shahpura Khetri Rajgarh SH-13","203.93"
"K.D.M. Hospital","Jhunjhunu","Sikar Jhunjhunu Surajgarh Loharu","816.18"
"Kajla Hospital","Jhunjhunu","Chomu Khandella Udaipurwati Jhunjhunu Churu road","264.90"
"Kanoria Hospital","Jhunjhunu","NAGAUR TARNAU LAXMANGARH MUKUNDGARH SH-82 A ROAD","47.27"
"Kcc Hospital","Jhunjhunu","Shahpura Khetri Rajgarh SH-13","284.86"
"Kedia Hospital & Jaipur Heart Centre","Jhunjhunu","Sikar-Jhunjhunu-Surajgarh-Luharu","591.80"
